"Sector","r.squared","adj.r.squared","p.value"
"Energy",0.443170808448178,0.4217543010808,0.000110559129372349
"Manufacturing",0.963962836617021,0.962521350081702,1.46346108301128e-19
"Consumer Exp",0.169109052156111,0.137151708008269,0.029703307800688
"Water & Waste",0.915507747211529,0.912128057099991,6.33191920625716e-15
"Transport",0.223164539394426,0.193286252448058,0.011137028948258
"Agriculture",0.744745880556668,0.734535715778935,6.98913102721196e-09
"Mining",0.9721528964598,0.971039012318192,5.80833579677587e-21
"Other Sectors",0.669272599963339,0.656043503961873,1.86881190000348e-07
"Public Admin",0.957840528733015,0.956154149882336,1.04343585275242e-18
"Retail & Auto",0.905058737312428,0.901261086804925,2.73404018638621e-14
"Construction",0.468251758860432,0.446981829214849,8.27857532022033e-05
